iter	Passed	Remaining
0	143	143021
1	145	72635
2	147	48912
3	148	37092
4	151	30099
5	154	25518
6	156	22164
7	158	19645
8	160	17679
9	163	16139
10	164	14799
11	167	13766
12	169	12854
13	171	12101
14	173	11425
15	176	10837
16	178	10311
17	180	9859
18	182	9447
19	185	9071
20	186	8703
21	188	8369
22	189	8067
23	191	7772
24	192	7506
25	193	7253
26	194	7018
27	195	6799
28	196	6586
29	197	6384
30	198	6204
31	199	6027
32	200	5866
33	201	5716
34	201	5568
35	202	5432
36	203	5303
37	204	5175
38	205	5057
39	205	4943
40	206	4835
41	207	4728
42	208	4631
43	208	4538
44	209	4451
45	210	4365
46	211	4281
47	211	4200
48	212	4123
49	213	4049
50	213	3975
51	214	3909
52	215	3845
53	215	3780
54	216	3719
55	217	3660
56	217	3603
57	218	3549
58	219	3496
59	219	3444
60	220	3395
61	221	3348
62	221	3301
63	222	3256
64	223	3214
65	224	3174
66	225	3134
67	225	3094
68	226	3054
69	227	3016
70	227	2978
71	228	2941
72	228	2905
73	229	2871
74	230	2837
75	230	2803
76	231	2772
77	231	2741
78	232	2710
79	233	2682
80	234	2655
81	234	2626
82	235	2598
83	235	2572
84	236	2546
85	237	2521
86	237	2496
87	238	2472
88	239	2448
89	239	2425
90	240	2402
91	241	2380
92	241	2358
93	242	2335
94	242	2314
95	243	2293
96	244	2272
97	244	2252
98	245	2233
99	246	2214
100	246	2195
101	247	2177
102	247	2159
103	248	2141
104	249	2124
105	249	2107
106	250	2091
107	251	2076
108	252	2060
109	252	2044
110	253	2028
111	253	2013
112	254	1998
113	255	1983
114	255	1966
115	256	1951
116	256	1937
117	257	1923
118	257	1909
119	258	1896
120	259	1882
121	259	1869
122	260	1856
123	261	1843
124	261	1831
125	262	1818
126	262	1806
127	263	1794
128	263	1782
129	264	1769
130	265	1758
131	265	1746
132	266	1735
133	266	1724
134	267	1713
135	268	1703
136	268	1692
137	269	1682
138	269	1672
139	270	1661
140	271	1651
141	271	1642
142	272	1631
143	272	1621
144	273	1611
145	273	1602
146	274	1593
147	275	1584
148	275	1575
149	276	1566
150	276	1557
151	277	1548
152	278	1539
153	278	1532
154	279	1524
155	280	1515
156	280	1507
157	281	1499
158	282	1491
159	282	1483
160	283	1475
161	283	1468
162	284	1460
163	285	1453
164	285	1445
165	286	1438
166	286	1430
167	287	1423
168	287	1415
169	288	1408
170	289	1401
171	289	1394
172	290	1387
173	290	1380
174	291	1373
175	292	1367
176	292	1360
177	293	1354
178	293	1347
179	294	1341
180	295	1335
181	295	1328
182	296	1322
183	296	1316
184	297	1310
185	298	1304
186	298	1298
187	299	1292
188	299	1286
189	300	1280
190	301	1275
191	301	1269
192	302	1263
193	302	1258
194	303	1253
195	304	1247
196	304	1242
197	305	1237
198	306	1232
199	306	1226
200	307	1221
201	307	1216
202	308	1211
203	309	1206
204	309	1201
205	310	1196
206	310	1191
207	311	1186
208	312	1181
209	312	1176
210	313	1171
211	313	1166
212	314	1162
213	315	1157
214	315	1152
215	316	1148
216	317	1143
217	317	1139
218	318	1134
219	318	1130
220	319	1125
221	319	1121
222	320	1117
223	321	1113
224	322	1109
225	322	1105
226	323	1100
227	323	1096
228	324	1092
229	325	1088
230	325	1084
231	326	1080
232	326	1076
233	327	1072
234	328	1068
235	328	1064
236	329	1060
237	330	1056
238	330	1052
239	331	1048
240	331	1045
241	332	1041
242	333	1037
243	333	1033
244	334	1030
245	334	1026
246	335	1022
247	336	1019
248	336	1015
249	337	1012
250	337	1008
251	338	1004
252	339	1001
253	339	997
254	340	994
255	341	991
256	341	987
257	342	984
258	342	981
259	343	977
260	344	974
261	344	970
262	345	967
263	345	964
264	346	960
265	347	957
266	347	954
267	348	951
268	349	948
269	349	945
270	350	942
271	350	939
272	351	936
273	352	933
274	352	930
275	353	926
276	353	923
277	354	920
278	355	917
279	355	914
280	356	911
281	356	908
282	357	905
283	358	903
284	358	900
285	359	897
286	359	894
287	360	891
288	361	888
289	361	885
290	362	882
291	363	880
292	363	877
293	364	874
294	364	872
295	365	869
296	366	867
297	366	864
298	367	861
299	368	858
300	368	856
